Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_r_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,0,-0.019809,0.000159,0.000000,0.019809,9.827637,0.039635,-0.000312,9.827717,0.018640,0.000122,0.000055,-0.000065,0.000015,0.000238,0.018642,9.843548,0.036897,0.000294,9.843617,0.372104,0.009409,0.381512,0.000000,9.141471,5398312.500000,-3.923971,1.000000
internalMesh,1,-0.018257,0.000159,0.000000,0.018258,9.541784,0.054605,-0.000307,9.541941,0.005078,0.000038,0.000036,-0.000330,0.000009,0.000050,0.005089,9.553411,0.053990,0.000266,9.553563,0.360839,0.002576,0.363414,0.000000,8.354086,5305881.000000,-4.602964,1.000000
internalMesh,2,-0.016768,0.000159,0.000000,0.016769,9.246466,0.053053,-0.000378,9.246618,0.010642,0.000040,0.000025,-0.000554,0.000005,0.000076,0.010657,9.257455,0.052548,0.000268,9.257604,0.351008,0.005354,0.356362,0.000000,7.916670,5218195.000000,-4.976834,1.000000
internalMesh,3,-0.015338,0.000159,0.000000,0.015339,8.945074,0.052237,-0.000461,8.945227,0.013497,0.000042,0.000018,-0.000667,0.000003,0.000008,0.013514,8.957913,0.051843,0.000270,8.958063,0.339067,0.006778,0.345845,0.000000,7.703103,5136343.500000,-5.139262,1.000000
internalMesh,4,-0.013966,0.000159,0.000000,0.013967,8.650404,0.051926,-0.000529,8.650559,0.019656,0.000049,0.000024,-0.000840,0.000003,-0.000056,0.019674,8.664669,0.051755,0.000272,8.664824,0.330175,0.009865,0.340040,0.000000,7.547944,5057766.500000,-5.234367,1.000000
internalMesh,5,-0.012648,0.000159,0.000000,0.012649,8.368109,0.051272,-0.000582,8.368266,0.030150,0.000058,0.000026,-0.001117,0.000003,-0.000070,0.030171,8.382324,0.051107,0.000276,8.382480,0.318984,0.015117,0.334101,0.000000,7.393817,4980876.500000,-5.318395,1.000000
internalMesh,6,-0.011383,0.000159,0.000000,0.011384,8.099092,0.049989,-0.000630,8.099246,0.045475,0.000076,0.000023,-0.001567,0.000002,-0.000059,0.045502,8.113080,0.049929,0.000283,8.113234,0.310810,0.022787,0.333597,0.000000,7.236171,4905699.500000,-5.402268,1.000000
internalMesh,7,-0.010168,0.000159,0.000000,0.010170,7.841787,0.049045,-0.000683,7.841941,0.065786,0.000075,0.000021,-0.001987,0.000001,-0.000040,0.065816,7.855113,0.048771,0.000291,7.855265,0.300330,0.032941,0.333272,0.000000,7.082374,4832548.500000,-5.483303,1.000000
internalMesh,8,-0.009002,0.000159,0.000000,0.009004,7.595540,0.047474,-0.000746,7.595688,0.093344,0.000131,0.000019,-0.003002,0.000001,-0.000027,0.093393,7.609164,0.047747,0.000297,7.609314,0.293078,0.046747,0.339826,0.000000,6.937544,4761537.500000,-5.557539,1.000000
internalMesh,9,-0.007883,0.000159,0.000000,0.007884,7.358603,0.047148,-0.000822,7.358754,0.128350,0.000101,0.000019,-0.003139,0.000000,-0.000011,0.128389,7.369796,0.047240,0.000301,7.369947,0.283282,0.064235,0.347517,0.000000,6.802005,4692574.000000,-5.624791,1.000000
internalMesh,10,-0.006808,0.000159,0.000000,0.006810,7.131410,0.045081,-0.000912,7.131553,0.178349,0.000266,0.000020,-0.006145,-0.000001,0.000006,0.178455,7.141974,0.046455,0.000301,7.142126,0.276696,0.089317,0.366013,0.000000,6.674900,4625470.000000,-5.685235,1.000000
internalMesh,11,-0.005776,0.000159,0.000000,0.005778,6.911658,0.046312,-0.001023,6.911814,0.238693,0.000162,0.000022,-0.004346,0.000002,0.000052,0.238733,6.915082,0.046358,0.000295,6.915238,0.267298,0.119438,0.386737,0.000000,6.553285,4559925.000000,-5.741275,1.000000
internalMesh,12,-0.004786,0.000159,0.000000,0.004788,6.699849,0.042758,-0.001155,6.699985,0.334688,0.000781,0.000025,-0.014615,-0.000013,0.000103,0.335008,6.705294,0.044757,0.000284,6.705443,0.261193,0.167747,0.428940,0.000000,6.436967,4495581.000000,-5.790009,1.000000
internalMesh,13,-0.003835,0.000159,0.000000,0.003838,6.493538,0.048022,-0.001323,6.493716,0.442071,0.000494,0.000030,-0.003590,0.000015,0.000223,0.442086,6.487487,0.045774,0.000266,6.487648,0.252076,0.221297,0.473373,0.000000,6.318306,4431951.000000,-5.834925,1.000000
internalMesh,14,-0.002922,0.000159,0.000000,0.002926,6.290317,0.040130,-0.001523,6.290445,0.647193,0.003698,0.000036,-0.042815,-0.000043,0.000362,0.648619,6.299365,0.042479,0.000242,6.299508,0.246646,0.325464,0.572110,0.000000,6.196937,4368355.000000,-5.867675,1.000000
internalMesh,15,-0.002045,0.000159,0.000000,0.002051,6.094073,0.055650,-0.001778,6.094327,0.875319,0.003259,0.000045,0.008865,-0.000009,0.000648,0.875370,6.081534,0.048360,0.000212,6.081727,0.238045,0.439312,0.677356,0.000000,6.034570,4303760.500000,-5.901735,1.000000
internalMesh,16,-0.001204,0.000159,0.000000,0.001214,5.887928,0.034051,-0.002060,5.888027,1.406708,0.031086,0.000057,-0.171665,0.000000,0.000980,1.417485,5.916117,0.040119,0.000186,5.916253,0.233308,0.718926,0.952233,0.000000,5.822627,4236297.000000,-5.920114,1.000000
internalMesh,17,-0.000396,0.000159,0.000000,0.000427,5.705709,0.072071,-0.002396,5.706164,2.177194,0.013454,0.000075,0.022377,-0.000123,0.001686,2.177351,5.677454,0.059726,0.000173,5.677768,0.224477,1.095361,1.319838,0.000000,5.326251,4161217.500000,-5.962085,1.000000
internalMesh,18,-0.019809,0.000490,0.000000,0.019815,10.007105,0.055512,-0.000316,10.007258,0.019765,0.000084,0.000050,0.000437,0.000033,0.000256,0.019772,10.020802,0.054836,0.000320,10.020952,0.374972,0.009949,0.384921,0.000000,8.933177,5397988.500000,-4.151939,1.000000
internalMesh,19,-0.018257,0.000490,0.000000,0.018264,10.076429,0.078567,-0.000312,10.076735,0.002438,0.000090,0.000024,-0.000039,0.000014,0.000025,0.002440,10.085957,0.079959,0.000267,10.086273,0.367590,0.001276,0.368866,0.000000,8.323941,5305489.000000,-4.635273,1.000000
internalMesh,20,-0.016768,0.000490,0.000000,0.016775,10.117619,0.076448,-0.000384,10.117908,0.004160,0.000084,0.000017,-0.000225,0.000007,0.000036,0.004167,10.127951,0.076997,0.000267,10.128243,0.355026,0.002131,0.357157,0.000000,7.912883,5217892.500000,-4.980262,1.000000
internalMesh,21,-0.015338,0.000490,0.000000,0.015346,10.130769,0.076831,-0.000463,10.131060,0.004444,0.000102,0.000015,-0.000233,0.000006,-0.000011,0.004452,10.144128,0.077188,0.000271,10.144422,0.342288,0.002281,0.344568,0.000000,7.692111,5136209.500000,-5.150736,1.000000
internalMesh,22,-0.013966,0.000490,0.000000,0.013974,10.127875,0.079482,-0.000529,10.128187,0.005554,0.000140,0.000024,-0.000242,0.000007,-0.000055,0.005562,10.144492,0.079955,0.000272,10.144807,0.331883,0.002859,0.334742,0.000000,7.536450,5057738.000000,-5.246367,1.000000
internalMesh,23,-0.012648,0.000490,0.000000,0.012657,10.116291,0.081488,-0.000581,10.116619,0.007013,0.000200,0.000026,-0.000430,0.000006,-0.000062,0.007030,10.135137,0.082165,0.000276,10.135469,0.321283,0.003620,0.324903,0.000000,7.384696,4980896.500000,-5.327796,1.000000
internalMesh,24,-0.011383,0.000490,0.000000,0.011393,10.097672,0.083002,-0.000628,10.098014,0.009166,0.000260,0.000023,-0.000747,0.000004,-0.000054,0.009200,10.118792,0.083735,0.000282,10.119138,0.312691,0.004725,0.317416,0.000000,7.228299,4905745.500000,-5.410187,1.000000
internalMesh,25,-0.010168,0.000490,0.000000,0.010180,10.073279,0.083883,-0.000680,10.073628,0.012560,0.000383,0.000021,-0.001346,0.000003,-0.000043,0.012638,10.095428,0.084763,0.000291,10.095783,0.303761,0.006482,0.310243,0.000000,7.074869,4832611.500000,-5.490854,1.000000
internalMesh,26,-0.009002,0.000490,0.000000,0.009016,10.042302,0.085314,-0.000742,10.042665,0.017610,0.000442,0.000019,-0.001987,0.000001,-0.000035,0.017727,10.066586,0.086242,0.000297,10.066955,0.296633,0.009036,0.305669,0.000000,6.929735,4761619.000000,-5.565301,1.000000
internalMesh,27,-0.007883,0.000490,0.000000,0.007898,10.007146,0.085920,-0.000817,10.007515,0.025824,0.000733,0.000019,-0.003431,0.000001,-0.000024,0.026061,10.031798,0.087431,0.000300,10.032180,0.289099,0.013288,0.302387,0.000000,6.794199,4692691.000000,-5.632728,1.000000
internalMesh,28,-0.006808,0.000490,0.000000,0.006826,9.965751,0.087952,-0.000906,9.966139,0.037189,0.000788,0.000020,-0.004583,-0.000001,-0.000016,0.037478,9.993784,0.089623,0.000300,9.994185,0.283209,0.018998,0.302207,0.000000,6.666001,4625614.000000,-5.693779,1.000000
internalMesh,29,-0.005776,0.000490,0.000000,0.005797,9.922688,0.088156,-0.001013,9.923080,0.057003,0.001555,0.000022,-0.008344,-0.000004,0.000014,0.057632,9.950068,0.090754,0.000294,9.950481,0.276827,0.029290,0.306116,0.000000,6.544513,4560114.500000,-5.749803,1.000000
internalMesh,30,-0.004786,0.000490,0.000000,0.004811,9.872343,0.091735,-0.001142,9.872769,0.081936,0.001589,0.000025,-0.010277,-0.000000,0.000026,0.082594,9.905069,0.093437,0.000284,9.905510,0.271967,0.041775,0.313742,0.000000,6.424611,4495840.500000,-5.800084,1.000000
internalMesh,31,-0.003835,0.000490,0.000000,0.003866,9.823526,0.091392,-0.001302,9.823952,0.131600,0.003913,0.000029,-0.021170,-0.000026,0.000117,0.133349,9.852571,0.093991,0.000266,9.853019,0.266527,0.067771,0.334298,0.000000,6.308065,4432310.500000,-5.844499,1.000000
internalMesh,32,-0.002922,0.000490,0.000000,0.002962,9.763789,0.098353,-0.001495,9.764285,0.186875,0.004008,0.000035,-0.024705,-0.000007,0.000170,0.188543,9.801344,0.097879,0.000245,9.801832,0.262420,0.095459,0.357879,0.000000,6.175766,4368898.500000,-5.882085,1.000000
internalMesh,33,-0.002045,0.000490,0.000000,0.002103,9.710758,0.097077,-0.001730,9.711244,0.323070,0.013082,0.000043,-0.062104,-0.000048,0.000321,0.329245,9.738326,0.098691,0.000218,9.738826,0.257660,0.168097,0.425758,0.000000,6.033841,4304643.000000,-5.913548,1.000000
internalMesh,34,-0.001204,0.000490,0.000000,0.001299,9.640231,0.107917,-0.001995,9.640836,0.462199,0.017754,0.000054,-0.087889,-0.000071,0.000576,0.470817,9.681050,0.105675,0.000195,9.681627,0.254057,0.240004,0.494062,0.000000,5.805307,4237970.500000,-5.944949,1.000000
internalMesh,35,-0.000396,0.000490,0.000000,0.000630,9.582523,0.101096,-0.002261,9.583056,0.831934,0.096741,0.000068,-0.264374,-0.000046,0.000857,0.878275,9.604313,0.109536,0.000191,9.604938,0.249714,0.464372,0.714086,0.000000,5.528834,4165355.500000,-5.986868,1.000000
internalMesh,36,-0.019809,0.000844,0.000000,0.019827,9.992676,0.033656,-0.000314,9.992732,0.019633,0.000303,0.000043,0.000318,0.000045,0.000240,0.019640,10.005424,0.031538,0.000367,10.005473,0.374926,0.009990,0.384916,0.000000,8.841610,5397321.000000,-4.244069,1.000000
internalMesh,37,-0.018257,0.000844,0.000000,0.018277,10.030836,0.054106,-0.000311,10.030982,0.002439,0.000197,0.000016,-0.000295,0.000007,0.000025,0.002465,10.039749,0.053781,0.000267,10.039893,0.030205,0.001326,0.031531,0.000000,8.321049,5304717.000000,-4.638885,1.000000
