Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,0,-0.01980858,0.00015942,0.00000000,0.01980922,-28.31883430,0.54428011,-0.15078925,28.32446480,176.16676331,0.82090694,13.06170654,1.18100250,0.01696845,1.01839304,176.65911865,-26.97040939,0.29140052,0.40828514,26.97507286,482.38790894,577.41258820,0.00028056,1042.20397949,59171.99609375,1149.65612793,0.99727565
internalMesh,1,-0.01825736,0.00015942,0.00000000,0.01825806,4.21732521,0.84741139,-0.31513017,4.31314802,386.27151489,4.45391989,32.29230499,-19.59778595,0.12898807,3.20085073,388.15286255,6.10358763,1.01342666,-0.37246212,6.19834995,199.63993835,411.14884046,0.00014436,-389.03692627,29501.16406250,-448.36804199,0.99694675
internalMesh,2,-0.01676812,0.00015942,0.00000000,0.01676888,-24.28365135,-2.44713640,-0.11132631,24.40689659,516.87316895,5.74632597,29.61145973,14.94535637,-0.37220606,-2.44853854,517.97418213,-28.58432961,-2.27817440,0.40134850,28.67778015,169.71125793,445.82671374,0.00004278,-35.31078339,25006.34570312,-51.92027283,0.99702561
internalMesh,3,-0.01533838,0.00015942,0.00000000,0.01533921,8.90489483,-1.46841729,-0.04602032,9.02527142,179.41934204,4.04963779,26.82844162,-6.13770103,0.15099287,-1.24464905,181.56736755,5.55559492,-1.56426239,2.54513812,6.30787420,125.12952423,230.27824323,0.00000735,-114.54524994,18022.56445312,-138.55824280,0.99711210
internalMesh,4,-0.01396577,0.00015942,0.00000000,0.01396667,-1.83903909,-0.76672876,-0.15012869,1.99811816,313.11471558,2.08174157,18.32693672,4.63464165,-0.16590029,-5.06417704,313.73266602,-5.54352140,-0.88218790,1.60432959,5.83804417,120.42360687,287.18531997,0.00003422,-7.62842703,16798.06640625,-21.29256439,0.99713498
internalMesh,5,-0.01264799,0.00015942,0.00000000,0.01264899,5.87957525,-0.42154345,-0.32278532,5.90349865,109.49084473,1.67252576,14.09721470,0.35135022,-0.09279998,-3.27348948,110.45642090,3.86744356,-0.73499233,1.03444505,4.07030821,103.95877075,166.58906205,0.00002853,-0.27784866,12237.29687500,-10.72064590,0.99683183
internalMesh,6,-0.01138286,0.00015942,0.00000000,0.01138398,1.95274591,-0.34981453,-0.30548826,2.00721455,123.97632599,0.99516284,11.51931763,2.95989680,-0.12174603,-3.83006048,124.60842133,0.12432958,-0.69137627,0.39164340,0.80426586,86.80006409,155.04546516,0.00003461,25.85634613,12302.59277344,21.91652107,0.99679881
internalMesh,7,-0.01016828,0.00015942,0.00000000,0.01016953,5.11313772,-0.30853674,-0.20308295,5.12646246,54.63843536,0.92425102,9.93971062,1.41920006,-0.13781177,-1.77979195,55.58967209,3.90542173,-0.42989442,0.38169527,3.94750810,79.50571442,112.25689866,0.00001706,28.57375145,10763.53710938,28.32455826,0.99669266
internalMesh,8,-0.00900222,0.00015942,0.00000000,0.00900363,3.89958072,-0.19890299,-0.06375372,3.90517044,53.01671982,0.61813563,8.38814926,1.45756721,-0.09296510,-1.99756360,53.73675919,3.30544186,-0.30159378,0.85068971,3.42645264,70.26773071,101.27924391,0.00000934,35.05016327,10832.12500000,37.31409454,0.99637377
internalMesh,9,-0.00788276,0.00015942,0.00000000,0.00788437,4.86184025,-0.19429378,0.00034848,4.86572123,30.68479347,0.60014236,7.47156334,0.82336116,-0.11104275,-0.69666350,31.60564232,5.64344168,-0.24803488,1.43018830,5.82712555,66.83349609,86.21174277,0.00002075,34.65099335,10338.68750000,38.12413025,0.99606055
internalMesh,10,-0.00680802,0.00015942,0.00000000,0.00680988,4.49204826,-0.14897142,0.02981407,4.49461651,27.91724396,0.47221270,6.76069546,0.26262498,-0.08490923,-0.58228779,28.73530388,4.78526878,-0.12126691,1.32796776,4.96759510,60.03888321,77.61396263,0.00002466,35.45013428,10134.17187500,41.82489777,0.99582118
internalMesh,11,-0.00577621,0.00015942,0.00000000,0.00577841,4.68016481,-0.16551240,0.02717771,4.68316936,20.82876205,0.42782089,6.34959650,0.13036314,-0.07926045,-0.34677923,21.78259087,4.79774189,-0.09103206,1.02092469,4.90600681,50.15281677,63.95590646,0.00001842,35.14999008,9899.12402344,41.60792542,0.99560851
internalMesh,12,-0.00478564,0.00015942,0.00000000,0.00478829,4.58887768,-0.16209795,-0.00858653,4.59174776,18.79882240,0.36379337,5.67989111,-0.02614655,-0.08510066,0.02167294,19.64173126,4.37335873,-0.09437190,0.67682517,4.42642784,42.96783829,55.38909061,0.00001744,34.92397308,9706.67187500,42.21158981,0.99553692
internalMesh,13,-0.00383464,0.00015942,0.00000000,0.00383795,4.64060974,-0.15647362,-0.05462495,4.64356852,16.37971306,0.32419696,5.13628960,-0.03078365,-0.05281504,0.23699380,17.17094803,4.37044525,-0.12210310,0.52580923,4.40365505,34.63837814,45.55847697,0.00001844,34.38324738,9525.39257812,44.96262741,0.99554980
internalMesh,14,-0.00292163,0.00015942,0.00000000,0.00292598,4.62702370,-0.13994220,-0.11909785,4.63067150,14.89584351,0.30308089,4.74221373,-0.04516298,-0.03519651,0.47984278,15.64289379,4.45953274,-0.08103117,0.51365072,4.48974800,28.90763283,38.87819853,0.00001417,33.97669983,9347.15527344,46.74628067,0.99545693
internalMesh,15,-0.00204510,0.00015942,0.00000000,0.00205131,4.57534742,-0.11133543,-0.17156182,4.57991648,13.28127766,0.28518671,4.45211792,-0.01981937,-0.01232113,0.57560712,14.02237129,4.47915030,-0.05127450,0.29881424,4.48939943,26.45277977,35.46207290,0.00001106,33.65337753,9155.95214844,46.65594482,0.99424386
internalMesh,16,-0.00120360,0.00015942,0.00000000,0.00121411,4.52663708,-0.14483097,-0.19019890,4.53294563,11.99188232,0.28562087,4.07290220,-0.04809725,0.01615980,0.52709687,12.67894936,4.55408478,-0.20397386,0.01420777,4.55867243,25.64584160,33.82104205,0.00001112,33.48579407,8939.33398438,46.59584427,0.98942035
internalMesh,17,-0.00039571,0.00015942,0.00000000,0.00042662,4.40981150,-0.04420237,-0.16826275,4.41324186,11.08985710,0.26658711,3.47879243,-0.04582824,0.03213707,0.38613862,11.63229275,4.87354517,-0.07269482,-0.05465289,4.87439394,29.07649040,36.49410638,0.00001486,33.11617661,8664.69921875,45.75455475,0.98031729
