Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average,turbint_U_average,k_total_average,turbint_uprime_average
internalMesh,0,-0.019809,0.000159,0.000000,0.019809,9.381675,0.534796,0.000000,9.396905,0.012726,0.000286,0.000000,0.001827,0.000000,0.000000,0.012859,9.389339,0.535192,0.000000,9.404580,0.006506,0.000432,14.750629,5405775.500000,3.107184,1.000000,9.396907,0.006170,0.057950
internalMesh,1,-0.018257,0.000159,0.000000,0.018258,8.694051,0.258068,0.000000,8.697880,0.005544,0.000091,0.000000,-0.000684,0.000000,0.000000,0.005587,8.692328,0.258826,0.000000,8.696181,0.002817,0.000395,13.766648,5317183.500000,2.324339,1.000000,8.697879,0.004430,0.038548
internalMesh,2,-0.016768,0.000159,0.000000,0.016769,8.214193,0.107911,0.000000,8.214902,0.010617,0.000045,0.000000,-0.000662,0.000000,0.000000,0.010637,8.207673,0.108529,0.000000,8.208390,0.005331,0.000365,12.906999,5227963.000000,1.580394,1.000000,8.214904,0.006449,0.053019
internalMesh,3,-0.015338,0.000159,0.000000,0.015339,7.815526,0.041481,0.000000,7.815636,0.013762,0.000030,0.000000,-0.000586,0.000000,0.000000,0.013774,7.805189,0.042106,0.000000,7.805303,0.006896,0.000336,12.455107,5141966.000000,1.222428,1.000000,7.815635,0.007735,0.060525
internalMesh,4,-0.013966,0.000159,0.000000,0.013967,7.475174,0.015394,0.000000,7.475190,0.022005,0.000023,0.000000,-0.000597,0.000000,0.000000,0.022013,7.459459,0.016052,0.000000,7.459476,0.011014,0.000310,12.101466,5059427.000000,0.972337,1.000000,7.475190,0.010242,0.076689
internalMesh,5,-0.012648,0.000159,0.000000,0.012649,7.182540,0.005181,0.000000,7.182542,0.034947,0.000019,0.000000,-0.000692,0.000000,0.000000,0.034954,7.159788,0.005891,0.000000,7.159790,0.017483,0.000287,11.756275,4980078.000000,0.741488,1.000000,7.182542,0.013470,0.096979
internalMesh,6,-0.011383,0.000159,0.000000,0.011384,6.927126,0.000686,0.000000,6.927126,0.051463,0.000020,0.000000,-0.000874,0.000000,0.000000,0.051470,6.896226,0.001478,0.000000,6.896226,0.025741,0.000266,11.431162,4903665.500000,0.536814,1.000000,6.927126,0.017023,0.118294
internalMesh,7,-0.010168,0.000159,0.000000,0.010170,6.701120,-0.001424,0.000000,6.701120,0.071686,0.000023,0.000000,-0.001162,0.000000,0.000000,0.071695,6.661183,-0.000514,0.000000,6.661183,0.035855,0.000247,11.137996,4829961.500000,0.368299,1.000000,6.701120,0.020879,0.140468
internalMesh,8,-0.009002,0.000159,0.000000,0.009004,6.499002,-0.002515,0.000000,6.499003,0.096761,0.000032,0.000000,-0.001589,0.000000,0.000000,0.096774,6.449082,-0.001414,0.000000,6.449082,0.048396,0.000231,10.878686,4758723.000000,0.238800,1.000000,6.499003,0.025163,0.164328
internalMesh,9,-0.007883,0.000159,0.000000,0.007884,6.317451,-0.003153,0.000000,6.317452,0.128640,0.000042,0.000000,-0.002142,0.000000,0.000000,0.128657,6.256289,-0.001845,0.000000,6.256289,0.064341,0.000215,10.649636,4689687.500000,0.147245,1.000000,6.317453,0.030022,0.190751
internalMesh,10,-0.006808,0.000159,0.000000,0.006810,6.152482,-0.003650,0.000000,6.152483,0.169916,0.000063,0.000000,-0.003037,0.000000,0.000000,0.169943,6.078227,-0.001978,0.000000,6.078227,0.084990,0.000202,10.445684,4622565.000000,0.091168,1.000000,6.152483,0.035660,0.220854
internalMesh,11,-0.005776,0.000159,0.000000,0.005778,6.003791,-0.003892,0.000000,6.003793,0.223081,0.000072,0.000000,-0.003795,0.000000,0.000000,0.223113,5.914620,-0.001992,0.000000,5.914621,0.111577,0.000189,10.262081,4557033.500000,0.070057,1.000000,6.003793,0.042098,0.254656
internalMesh,12,-0.004786,0.000159,0.000000,0.004788,5.863554,-0.004369,0.000000,5.863555,0.297648,0.000167,0.000000,-0.006668,0.000000,0.000000,0.297723,5.755709,-0.001384,0.000000,5.755709,0.148908,0.000177,10.093810,4492715.000000,0.082375,1.000000,5.863556,0.050096,0.296237
internalMesh,13,-0.003835,0.000159,0.000000,0.003838,5.741204,-0.004262,0.000000,5.741206,0.390865,0.000126,0.000000,-0.005905,0.000000,0.000000,0.390910,5.613231,-0.001396,0.000000,5.613231,0.195496,0.000166,9.937689,4429114.000000,0.136034,1.000000,5.741207,0.058871,0.341165
internalMesh,14,-0.002922,0.000159,0.000000,0.002926,5.609803,-0.004985,0.000000,5.609806,0.550653,0.000831,0.000000,-0.019996,0.000000,0.000000,0.551016,5.452065,0.001245,0.000000,5.452065,0.275742,0.000156,9.780054,4365560.500000,0.221685,1.000000,5.609811,0.071838,0.407244
internalMesh,15,-0.002045,0.000159,0.000000,0.002051,5.517382,-0.005527,0.000000,5.517385,0.735112,0.000587,0.000000,-0.003685,0.000000,0.000000,0.735122,5.330787,-0.003057,0.000000,5.330788,0.367849,0.000147,9.620721,4301002.000000,0.381764,1.000000,5.517385,0.084512,0.471684
internalMesh,16,-0.001204,0.000159,0.000000,0.001214,5.357146,0.006590,0.000000,5.357151,1.192865,0.012040,0.000000,-0.101238,0.000000,0.000000,1.197214,5.114446,0.024778,0.000000,5.114506,0.602452,0.000136,9.418504,4233569.000000,0.580431,1.000000,5.357194,0.111106,0.603510
internalMesh,17,-0.000396,0.000159,0.000000,0.000427,5.291685,0.019079,0.000000,5.291719,1.773237,0.004873,0.000000,-0.005963,0.000000,0.000000,1.773254,4.998606,0.024567,0.000000,4.998667,0.889055,0.000128,9.160477,4158522.500000,1.036736,1.000000,5.291722,0.135826,0.730562
internalMesh,18,-0.019809,0.000490,0.000000,0.019815,9.993391,-0.032118,0.000000,9.993443,0.018509,0.000007,0.000000,0.000083,0.000000,0.000000,0.018509,10.002135,-0.032246,0.000000,10.002188,0.009258,0.000025,16.966568,5405737.000000,5.319367,1.000000,9.993444,0.006913,0.069039
internalMesh,19,-0.018257,0.000490,0.000000,0.018264,9.933305,0.020906,0.000000,9.933327,0.001301,0.000035,0.000000,-0.000105,0.000000,0.000000,0.001306,9.934496,0.021778,0.000000,9.934520,0.000668,0.000033,13.999485,5317196.500000,2.554356,1.000000,9.933327,0.001946,0.019330
internalMesh,20,-0.016768,0.000490,0.000000,0.016775,9.650141,0.070354,0.000000,9.650397,0.003469,0.000051,0.000000,-0.000369,0.000000,0.000000,0.003489,9.647580,0.071501,0.000000,9.647845,0.001760,0.000042,12.743195,5227999.000000,1.415171,1.000000,9.650397,0.003218,0.031065
internalMesh,21,-0.015338,0.000490,0.000000,0.015346,9.297151,0.100651,0.000000,9.297695,0.004685,0.000084,0.000000,-0.000592,0.000000,0.000000,0.004723,9.291444,0.102224,0.000000,9.292006,0.002384,0.000047,12.236563,5142013.000000,1.002158,1.000000,9.297696,0.003915,0.036418
