Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(kU)_average,ddt0(omegaU)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,fK_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,0,-0.01980858,0.00015942,0.00000000,0.01980922,9.62254810,0.11119504,0.00000000,9.62319088,0.00438707,-0.00191847,0.00000000,0.00478820,-0.00004767,2.58198547,0.00438707,-0.00191847,0.00000000,0.00478820,0.19999994,1.28928709,6.44643497,0.00001287,56304.92968750,11260.98925781,4.90994024
internalMesh,1,-0.01825736,0.00015942,0.00000000,0.01825806,8.81120872,0.17361221,0.00000000,8.81291866,0.03191405,-0.00522019,0.00000000,0.03233816,0.00131723,93.79473114,0.03191405,-0.00522019,0.00000000,0.03233816,0.19999994,1.94195747,9.70978642,0.00002005,79829.64843750,15965.93261719,3.26956630
internalMesh,2,-0.01676812,0.00015942,0.00000000,0.01676888,7.96787786,0.17286243,0.00000000,7.96975279,0.08318055,-0.00768747,0.00000000,0.08353502,0.00692310,346.58001709,0.08318055,-0.00768747,0.00000000,0.08353502,0.19999994,2.37021279,11.85106564,0.00002556,86637.69531250,17327.53125000,2.54901624
internalMesh,3,-0.01533838,0.00015942,0.00000000,0.01533921,7.17761803,0.15415929,0.00000000,7.17927313,0.15316968,-0.01005491,0.00000000,0.15349935,0.01941621,793.46606445,0.15316968,-0.01005491,0.00000000,0.15349935,0.19999994,2.68358541,13.41791725,0.00003040,86397.64843750,17279.52539062,2.12613535
internalMesh,4,-0.01396577,0.00015942,0.00000000,0.01396667,6.50647736,0.12704426,0.00000000,6.50771761,0.23580393,-0.01097679,0.00000000,0.23605928,0.04056358,1425.80871582,0.23580393,-0.01097679,0.00000000,0.23605928,0.19999994,2.95613027,14.78065491,0.00003519,83615.49218750,16723.10156250,1.65102839
internalMesh,5,-0.01264799,0.00015942,0.00000000,0.01264899,5.97172403,0.09712453,0.00000000,5.97251368,0.32794300,-0.01003611,0.00000000,0.32809654,0.14866047,2213.74194336,0.32794300,-0.01003611,0.00000000,0.32809654,0.19999994,3.22421551,16.12107658,0.00004021,80186.39843750,16037.26953125,1.19719672
internalMesh,6,-0.01138286,0.00015942,0.00000000,0.01138398,5.56548595,0.06952978,0.00000000,5.56592035,0.42616057,-0.00986694,0.00000000,0.42627478,0.28996566,3126.43286133,0.42616057,-0.00986694,0.00000000,0.42627478,0.19999994,3.50787973,17.53940964,0.00004564,76861.87500000,15372.37500000,0.84923500
internalMesh,7,-0.01016828,0.00015942,0.00000000,0.01016953,5.27114201,0.04698939,0.00000000,5.27135134,0.52932477,-0.01242713,0.00000000,0.52947062,0.39412552,4158.75830078,0.52932477,-0.01242713,0.00000000,0.52947062,0.19999994,3.82301974,19.11508942,0.00005168,73913.69531250,14782.73535156,0.60366899
internalMesh,8,-0.00900222,0.00015942,0.00000000,0.00900363,5.06663942,0.03019759,0.00000000,5.06672955,0.63539660,-0.01450798,0.00000000,0.63556218,0.42217028,5322.41943359,0.63539660,-0.01450798,0.00000000,0.63556218,0.19999994,4.16731501,20.83657646,0.00005819,71400.20312500,14280.03710938,0.42657712
internalMesh,9,-0.00788276,0.00015942,0.00000000,0.00788437,4.92821074,0.01879733,0.00000000,4.92824650,0.74320972,-0.01365796,0.00000000,0.74333519,0.47484976,6610.10107422,0.74320972,-0.01365796,0.00000000,0.74333519,0.19999994,4.53873682,22.69368553,0.00006518,69280.34375000,13856.06835938,0.28908113
