# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	upperWall	6.029057e-01	2.352235e+01	6.261015e+00
0.01          	lowerWall	5.821617e-01	3.277323e+01	2.121411e+01
0.02          	upperWall	3.518531e-01	2.355388e+01	7.395700e+00
0.02          	lowerWall	3.132174e-01	4.793097e+01	2.211967e+01
0.03          	upperWall	6.811731e-01	2.358247e+01	8.485970e+00
0.03          	lowerWall	5.135919e-01	5.517904e+01	2.356536e+01
0.04          	upperWall	5.322831e-01	2.356333e+01	8.942361e+00
0.04          	lowerWall	7.806170e-01	5.056768e+01	2.381521e+01
0.05          	upperWall	6.661208e-01	2.355614e+01	9.243151e+00
0.05          	lowerWall	8.469392e-01	4.982816e+01	2.364648e+01
0.06          	upperWall	1.010788e+00	2.355516e+01	9.536037e+00
0.06          	lowerWall	1.148614e+00	4.874599e+01	2.291279e+01
0.07          	upperWall	1.037444e+00	2.355801e+01	9.619248e+00
0.07          	lowerWall	1.552249e+00	4.423869e+01	2.254395e+01
0.08          	upperWall	5.515665e-01	2.356309e+01	9.795328e+00
0.08          	lowerWall	1.234349e+00	4.810897e+01	2.212903e+01
0.09          	upperWall	3.796687e-01	2.356158e+01	1.002927e+01
0.09          	lowerWall	5.947411e-01	4.227628e+01	2.074406e+01
0.1           	upperWall	7.701207e-01	2.355923e+01	1.005323e+01
0.1           	lowerWall	7.127142e-01	4.408037e+01	2.084642e+01
0.11          	upperWall	3.561469e-01	2.356159e+01	9.960037e+00
0.11          	lowerWall	4.586348e-01	4.022069e+01	2.036890e+01
0.12          	upperWall	3.109044e-01	2.356117e+01	1.003158e+01
0.12          	lowerWall	9.147448e-01	3.675531e+01	1.955768e+01
0.13          	upperWall	7.706913e-01	2.356127e+01	1.015230e+01
0.13          	lowerWall	5.272367e-01	3.444374e+01	1.851823e+01
0.14          	upperWall	8.841949e-01	2.355994e+01	1.013118e+01
0.14          	lowerWall	4.179201e-01	3.460433e+01	1.793830e+01
0.15          	upperWall	9.042097e-01	2.355899e+01	9.968796e+00
0.15          	lowerWall	5.707367e-01	3.242455e+01	1.705233e+01
0.16          	upperWall	3.683991e-01	2.355866e+01	9.941433e+00
0.16          	lowerWall	2.403154e-01	3.108665e+01	1.627954e+01
0.17          	upperWall	2.051630e-01	2.355841e+01	9.967462e+00
0.17          	lowerWall	3.629906e-01	2.926648e+01	1.554887e+01
0.18          	upperWall	3.765825e-01	2.355815e+01	1.013999e+01
0.18          	lowerWall	3.853653e-01	2.647175e+01	1.481433e+01
0.19          	upperWall	2.244899e-01	2.355802e+01	1.025414e+01
0.19          	lowerWall	2.879501e-01	2.437254e+01	1.413211e+01
0.2           	upperWall	2.225688e-01	2.355802e+01	1.040218e+01
0.2           	lowerWall	4.549188e-01	2.364630e+01	1.354991e+01
0.21          	upperWall	2.654575e-01	2.355816e+01	1.059899e+01
0.21          	lowerWall	4.817485e-01	2.313072e+01	1.307032e+01
0.22          	upperWall	1.574189e-01	2.355823e+01	1.079377e+01
0.22          	lowerWall	4.455733e-01	2.295935e+01	1.268718e+01
0.23          	upperWall	2.609215e-01	2.355819e+01	1.104228e+01
0.23          	lowerWall	5.297233e-01	2.235547e+01	1.231056e+01
0.24          	upperWall	8.510145e-01	2.355825e+01	1.122807e+01
0.24          	lowerWall	5.804913e-01	2.155822e+01	1.197222e+01
0.25          	upperWall	1.268015e+00	2.355838e+01	1.135963e+01
0.25          	lowerWall	3.030266e-01	2.062220e+01	1.169568e+01
0.26          	upperWall	1.071973e+00	2.355849e+01	1.145704e+01
0.26          	lowerWall	6.935135e-01	1.988592e+01	1.146696e+01
0.27          	upperWall	5.900920e-01	2.355848e+01	1.151271e+01
0.27          	lowerWall	7.408369e-01	1.946872e+01	1.134812e+01
0.28          	upperWall	5.939505e-01	2.355840e+01	1.153850e+01
0.28          	lowerWall	4.633127e-01	1.912529e+01	1.131118e+01
0.29          	upperWall	7.629587e-01	2.355817e+01	1.154389e+01
0.29          	lowerWall	7.649952e-01	1.897642e+01	1.130700e+01
0.3           	upperWall	6.999664e-01	2.355795e+01	1.153862e+01
0.3           	lowerWall	7.646077e-01	1.907507e+01	1.128503e+01
