# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	upperWall	5.272955e-01	1.443466e+01	5.098365e+00
0.01          	lowerWall	5.491944e-01	1.789626e+01	1.269161e+01
0.02          	upperWall	4.888327e-01	1.443462e+01	5.906545e+00
0.02          	lowerWall	3.090885e-01	3.131794e+01	1.423756e+01
0.03          	upperWall	9.439297e-01	1.443464e+01	6.680065e+00
0.03          	lowerWall	5.487524e-01	3.238037e+01	1.536464e+01
0.04          	upperWall	1.084399e+00	1.443463e+01	7.082239e+00
0.04          	lowerWall	7.157812e-01	3.061160e+01	1.583673e+01
0.05          	upperWall	5.791549e-01	1.443462e+01	7.216392e+00
0.05          	lowerWall	8.479706e-01	3.119272e+01	1.654129e+01
0.06          	upperWall	6.308792e-01	1.443463e+01	7.464719e+00
0.06          	lowerWall	1.285485e+00	3.252202e+01	1.688186e+01
0.07          	upperWall	3.277303e-01	1.443462e+01	7.576282e+00
0.07          	lowerWall	6.204992e-01	3.104254e+01	1.721555e+01
0.08          	upperWall	2.434035e-01	1.443462e+01	7.566984e+00
0.08          	lowerWall	1.004869e+00	2.962809e+01	1.676446e+01
0.09          	upperWall	3.707519e-01	1.443462e+01	7.533668e+00
0.09          	lowerWall	1.393216e+00	2.885111e+01	1.630652e+01
0.1           	upperWall	2.632122e-01	1.443462e+01	7.457031e+00
0.1           	lowerWall	1.377450e+00	2.788847e+01	1.600201e+01
0.11          	upperWall	1.796072e-01	1.443462e+01	7.389097e+00
0.11          	lowerWall	1.270236e+00	2.663038e+01	1.570368e+01
0.12          	upperWall	2.875485e-01	1.443462e+01	7.390295e+00
0.12          	lowerWall	1.020920e+00	2.503785e+01	1.508255e+01
0.13          	upperWall	1.113878e+00	1.443462e+01	7.718659e+00
0.13          	lowerWall	1.094896e+00	2.359074e+01	1.435062e+01
0.14          	upperWall	9.635974e-01	1.443462e+01	7.968912e+00
0.14          	lowerWall	1.165564e+00	2.238552e+01	1.369056e+01
0.15          	upperWall	1.084923e+00	1.443462e+01	8.205393e+00
0.15          	lowerWall	9.338627e-01	2.139851e+01	1.320525e+01
0.16          	upperWall	1.333692e+00	1.443462e+01	8.424159e+00
0.16          	lowerWall	1.100716e+00	2.072114e+01	1.285292e+01
0.17          	upperWall	1.480104e+00	1.443462e+01	8.616742e+00
0.17          	lowerWall	1.034460e+00	2.038886e+01	1.257513e+01
0.18          	upperWall	1.562274e+00	1.443462e+01	8.779791e+00
0.18          	lowerWall	9.336644e-01	2.024650e+01	1.235766e+01
0.19          	upperWall	1.751143e+00	1.443462e+01	8.910457e+00
0.19          	lowerWall	8.428105e-01	2.018425e+01	1.218200e+01
0.2           	upperWall	2.066340e+00	1.443462e+01	9.003174e+00
0.2           	lowerWall	7.628205e-01	2.014838e+01	1.204591e+01
0.21          	upperWall	2.308035e+00	1.443462e+01	9.056224e+00
0.21          	lowerWall	6.926766e-01	2.012514e+01	1.195380e+01
0.22          	upperWall	2.412454e+00	1.443462e+01	9.079549e+00
0.22          	lowerWall	6.354727e-01	2.011082e+01	1.189014e+01
0.23          	upperWall	2.448177e+00	1.443462e+01	9.088082e+00
0.23          	lowerWall	5.927791e-01	2.010205e+01	1.183831e+01
0.24          	upperWall	2.460535e+00	1.443462e+01	9.091313e+00
0.24          	lowerWall	5.632398e-01	2.009613e+01	1.180258e+01
0.25          	upperWall	2.465426e+00	1.443462e+01	9.092837e+00
0.25          	lowerWall	5.441812e-01	2.009061e+01	1.177147e+01
0.26          	upperWall	2.467153e+00	1.443462e+01	9.093732e+00
0.26          	lowerWall	5.244170e-01	2.008547e+01	1.174369e+01
0.27          	upperWall	2.467716e+00	1.443462e+01	9.094355e+00
0.27          	lowerWall	4.822674e-01	2.008180e+01	1.171884e+01
0.28          	upperWall	2.468345e+00	1.443462e+01	9.094852e+00
0.28          	lowerWall	4.442464e-01	2.007915e+01	1.169715e+01
0.29          	upperWall	2.468876e+00	1.443462e+01	9.095266e+00
0.29          	lowerWall	4.104919e-01	2.007692e+01	1.167251e+01
0.3           	upperWall	2.469087e+00	1.443462e+01	9.095605e+00
0.3           	lowerWall	3.808972e-01	2.007485e+01	1.165854e+01
