Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(k)_average,ddt0(omega)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,k_average,nut_average,omega_average,p_average
internalMesh,0,-0.020126,0.000146,0.000000,0.020126,9.897092,0.037918,0.000000,9.897164,-0.160609,0.683167,0.000000,0.701792,-8.880494,16923.425781,-0.160609,0.683167,0.000000,0.701792,0.589770,0.000005,32636.589844,0.033380
internalMesh,1,-0.019194,0.000146,0.000000,0.019195,9.720109,0.066376,0.000000,9.720336,-1.124126,0.711336,0.000000,1.330285,63.753014,42498.789062,-1.124126,0.711336,0.000000,1.330285,0.984222,0.000009,68129.601562,-0.569565
internalMesh,2,-0.018295,0.000146,0.000000,0.018296,9.533765,0.074344,0.000000,9.534055,-0.796193,-2.333163,0.000000,2.465274,42.486813,13437.326172,-0.796193,-2.333163,0.000000,2.465274,1.325548,0.000012,81895.921875,-0.938865
internalMesh,3,-0.017428,0.000146,0.000000,0.017428,9.339634,0.078330,0.000000,9.339962,-0.979438,-3.879539,0.000000,4.001265,-41.469048,3182.031250,-0.979438,-3.879539,0.000000,4.001265,1.662802,0.000016,86474.171875,-1.093160
internalMesh,4,-0.016590,0.000146,0.000000,0.016591,9.146269,0.082920,0.000000,9.146645,2.307622,-2.328668,0.000000,3.278386,-89.899826,15054.471680,2.307622,-2.328668,0.000000,3.278386,2.027637,0.000019,87486.078125,-1.158991
internalMesh,5,-0.015782,0.000146,0.000000,0.015783,8.956432,0.088010,0.000000,8.956864,4.415028,4.550301,0.000000,6.340166,-70.102379,18965.466797,4.415028,4.550301,0.000000,6.340166,2.431931,0.000023,87294.796875,-1.214325
internalMesh,6,-0.015002,0.000146,0.000000,0.015003,8.768108,0.092470,0.000000,8.768596,-4.438386,10.496306,0.000000,11.396128,-18.462963,5192.606445,-4.438386,10.496306,0.000000,11.396128,2.876202,0.000028,86712.601562,-1.282731
internalMesh,7,-0.014250,0.000146,0.000000,0.014250,8.583135,0.096330,0.000000,8.583675,-12.196854,4.556591,0.000000,13.020205,169.561066,-85889.898438,-12.196854,4.556591,0.000000,13.020205,3.361902,0.000033,85805.484375,-1.362164
internalMesh,8,-0.013523,0.000146,0.000000,0.013524,8.402094,0.100457,0.000000,8.402695,-8.377453,-6.146692,0.000000,10.390551,180.040970,-83880.273438,-8.377453,-6.146692,0.000000,10.390551,3.883324,0.000038,84811.789062,-1.445682
internalMesh,9,-0.012822,0.000146,0.000000,0.012823,8.225755,0.104701,0.000000,8.226421,-0.137780,-10.609324,0.000000,10.610219,-1.709253,-19341.488281,-0.137780,-10.609324,0.000000,10.610219,4.467643,0.000045,83767.960938,-1.531805
internalMesh,10,-0.012146,0.000146,0.000000,0.012147,8.055968,0.108161,0.000000,8.056694,8.388468,-9.759474,0.000000,12.869100,-131.285263,58992.398438,8.388468,-9.759474,0.000000,12.869100,5.124933,0.000052,82685.609375,-1.621448
internalMesh,11,-0.011493,0.000146,0.000000,0.011494,7.894904,0.110143,0.000000,7.895672,13.660286,-4.171240,0.000000,14.282949,-185.474976,122883.875000,13.660286,-4.171240,0.000000,14.282949,5.847713,0.000060,81577.781250,-1.714083
internalMesh,12,-0.010863,0.000146,0.000000,0.010864,7.744822,0.110002,0.000000,7.745603,10.490438,7.772346,0.000000,13.055982,-160.541321,128174.953125,10.490438,7.772346,0.000000,13.055982,6.622799,0.000069,80458.960938,-1.807275
internalMesh,13,-0.010255,0.000146,0.000000,0.010256,7.607858,0.107273,0.000000,7.608614,-0.801476,17.592707,0.000000,17.610954,-73.460495,31046.650391,-0.801476,17.592707,0.000000,17.610954,7.436243,0.000078,79347.562500,-1.897242
internalMesh,14,-0.009668,0.000146,0.000000,0.009669,7.485114,0.102821,0.000000,7.485820,-9.749500,11.759097,0.000000,15.275114,213.033737,-103746.750000,-9.749500,11.759097,0.000000,15.275114,8.269410,0.000088,78261.867188,-1.981228
internalMesh,15,-0.009101,0.000146,0.000000,0.009102,7.376186,0.098295,0.000000,7.376841,-10.417307,-1.958628,0.000000,10.599835,334.896545,-151621.281250,-10.417307,-1.958628,0.000000,10.599835,9.100911,0.000098,77209.039062,-2.059962
internalMesh,16,-0.008555,0.000146,0.000000,0.008556,7.279988,0.094172,0.000000,7.280597,-6.606757,-9.362326,0.000000,11.458725,181.797821,-114767.578125,-6.606757,-9.362326,0.000000,11.458725,9.945620,0.000109,76185.632812,-2.134861
