# y+ ()       
# Time        	patch         	min           	max           	average       
0.02          	upperWall	4.888330e-01	1.443462e+01	5.906545e+00
0.02          	lowerWall	3.090889e-01	3.131793e+01	1.423755e+01
0.03          	upperWall	9.439260e-01	1.443464e+01	6.680065e+00
0.03          	lowerWall	5.487550e-01	3.238040e+01	1.536465e+01
0.04          	upperWall	1.084397e+00	1.443463e+01	7.082239e+00
0.04          	lowerWall	7.157813e-01	3.061159e+01	1.583673e+01
0.05          	upperWall	5.791462e-01	1.443462e+01	7.216392e+00
0.05          	lowerWall	8.479712e-01	3.119274e+01	1.654129e+01
0.06          	upperWall	6.308761e-01	1.443463e+01	7.464718e+00
0.06          	lowerWall	1.285486e+00	3.252202e+01	1.688186e+01
0.07          	upperWall	3.277480e-01	1.443462e+01	7.576282e+00
0.07          	lowerWall	6.204947e-01	3.104255e+01	1.721555e+01
0.08          	upperWall	2.433580e-01	1.443462e+01	7.566984e+00
0.08          	lowerWall	1.004868e+00	2.962813e+01	1.676445e+01
0.09          	upperWall	3.708951e-01	1.443462e+01	7.533671e+00
0.09          	lowerWall	1.393216e+00	2.885115e+01	1.630653e+01
0.1           	upperWall	2.631466e-01	1.443462e+01	7.457036e+00
0.1           	lowerWall	1.377449e+00	2.788845e+01	1.600200e+01
0.11          	upperWall	1.795880e-01	1.443462e+01	7.389102e+00
0.11          	lowerWall	1.270236e+00	2.663036e+01	1.570369e+01
0.12          	upperWall	2.877252e-01	1.443462e+01	7.390297e+00
0.12          	lowerWall	1.020921e+00	2.503785e+01	1.508256e+01
0.13          	upperWall	1.113866e+00	1.443462e+01	7.718659e+00
0.13          	lowerWall	1.094896e+00	2.359074e+01	1.435062e+01
0.14          	upperWall	9.635714e-01	1.443462e+01	7.968911e+00
0.14          	lowerWall	1.165564e+00	2.238551e+01	1.369056e+01
0.15          	upperWall	1.084924e+00	1.443462e+01	8.205393e+00
0.15          	lowerWall	9.338584e-01	2.139850e+01	1.320525e+01
0.16          	upperWall	1.333696e+00	1.443462e+01	8.424159e+00
0.16          	lowerWall	1.100716e+00	2.072115e+01	1.285292e+01
0.17          	upperWall	1.480104e+00	1.443462e+01	8.616742e+00
0.17          	lowerWall	1.034461e+00	2.038887e+01	1.257513e+01
0.18          	upperWall	1.562272e+00	1.443462e+01	8.779791e+00
0.18          	lowerWall	9.336662e-01	2.024651e+01	1.235766e+01
0.19          	upperWall	1.751141e+00	1.443462e+01	8.910456e+00
0.19          	lowerWall	8.428086e-01	2.018424e+01	1.218200e+01
0.2           	upperWall	2.066334e+00	1.443462e+01	9.003174e+00
0.2           	lowerWall	7.628186e-01	2.014836e+01	1.204591e+01
0.21          	upperWall	2.308034e+00	1.443462e+01	9.056225e+00
0.21          	lowerWall	6.926684e-01	2.012515e+01	1.195378e+01
0.22          	upperWall	2.412465e+00	1.443462e+01	9.079551e+00
0.22          	lowerWall	6.354789e-01	2.011082e+01	1.189012e+01
0.23          	upperWall	2.448180e+00	1.443462e+01	9.088083e+00
0.23          	lowerWall	5.927953e-01	2.010208e+01	1.183831e+01
0.24          	upperWall	2.460543e+00	1.443462e+01	9.091314e+00
0.24          	lowerWall	5.632352e-01	2.009608e+01	1.180259e+01
0.25          	upperWall	2.465415e+00	1.443462e+01	9.092838e+00
0.25          	lowerWall	5.441778e-01	2.009057e+01	1.177148e+01
0.26          	upperWall	2.467164e+00	1.443462e+01	9.093733e+00
0.26          	lowerWall	5.244169e-01	2.008562e+01	1.174370e+01
0.27          	upperWall	2.467779e+00	1.443462e+01	9.094356e+00
0.27          	lowerWall	4.822675e-01	2.008188e+01	1.171884e+01
0.28          	upperWall	2.468326e+00	1.443462e+01	9.094850e+00
0.28          	lowerWall	4.442451e-01	2.007908e+01	1.169715e+01
0.29          	upperWall	2.468799e+00	1.443462e+01	9.095263e+00
0.29          	lowerWall	4.104915e-01	2.007682e+01	1.167251e+01
0.3           	upperWall	2.469053e+00	1.443462e+01	9.095606e+00
0.3           	lowerWall	3.808968e-01	2.007489e+01	1.165853e+01
