# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	upperWall	2.252146e-03	1.697361e-01	6.711084e-02
0.01          	lowerWall	3.717569e-02	8.269466e-01	2.004939e-01
0.02          	upperWall	1.083775e-03	1.844819e-01	8.061632e-02
0.02          	lowerWall	2.122918e-02	8.269205e-01	2.113881e-01
0.03          	upperWall	2.842069e-02	2.259734e-01	9.982636e-02
0.03          	lowerWall	3.286376e-03	8.269245e-01	2.129773e-01
0.04          	upperWall	1.738715e-02	3.339941e-01	1.098600e-01
0.04          	lowerWall	2.939062e-03	8.269147e-01	2.090397e-01
0.05          	upperWall	2.882587e-02	2.873905e-01	1.186799e-01
0.05          	lowerWall	3.152866e-03	8.269247e-01	2.056992e-01
0.06          	upperWall	6.591493e-03	2.418027e-01	9.648710e-02
0.06          	lowerWall	3.046078e-03	8.269254e-01	2.178438e-01
0.07          	upperWall	1.290775e-02	3.528177e-01	1.084810e-01
0.07          	lowerWall	3.535826e-03	9.001853e-01	2.373924e-01
0.08          	upperWall	2.714067e-03	3.711249e-01	1.132775e-01
0.08          	lowerWall	2.690264e-03	9.308611e-01	2.107725e-01
0.09          	upperWall	1.295331e-02	2.840468e-01	1.001027e-01
0.09          	lowerWall	3.050997e-03	9.170945e-01	2.202503e-01
0.1           	upperWall	9.029716e-03	2.777099e-01	9.914323e-02
0.1           	lowerWall	3.237254e-03	9.719022e-01	2.235783e-01
0.11          	upperWall	2.104566e-02	3.109093e-01	1.078529e-01
0.11          	lowerWall	3.155361e-03	8.269340e-01	2.095566e-01
0.12          	upperWall	2.257169e-03	2.702011e-01	1.036504e-01
0.12          	lowerWall	2.919263e-03	8.269205e-01	2.277844e-01
0.13          	upperWall	1.363976e-02	2.753760e-01	1.006160e-01
0.13          	lowerWall	3.242799e-03	9.489749e-01	2.332924e-01
0.14          	upperWall	7.284768e-03	3.076112e-01	1.003652e-01
0.14          	lowerWall	3.743657e-03	8.269566e-01	2.327435e-01
0.15          	upperWall	2.755872e-03	2.970480e-01	9.854982e-02
0.15          	lowerWall	3.415275e-03	8.454256e-01	2.356449e-01
0.16          	upperWall	7.245554e-03	3.167119e-01	1.022805e-01
0.16          	lowerWall	3.925681e-03	9.745901e-01	2.422939e-01
0.17          	upperWall	9.894296e-03	2.925744e-01	9.827836e-02
0.17          	lowerWall	2.269987e-03	1.048295e+00	2.227570e-01
0.18          	upperWall	1.042350e-02	2.392123e-01	1.049426e-01
0.18          	lowerWall	4.998370e-03	8.269844e-01	2.502042e-01
0.19          	upperWall	3.664376e-03	2.271897e-01	9.593792e-02
0.19          	lowerWall	3.170886e-03	8.269125e-01	2.218304e-01
0.2           	upperWall	3.230329e-03	3.887674e-01	1.077691e-01
0.2           	lowerWall	1.383601e-03	1.050838e+00	2.390908e-01
0.21          	upperWall	1.504686e-02	3.304183e-01	1.054888e-01
0.21          	lowerWall	3.305412e-03	1.120935e+00	2.204096e-01
0.22          	upperWall	1.089354e-02	2.745785e-01	1.006758e-01
0.22          	lowerWall	4.746544e-03	1.060758e+00	2.305156e-01
0.23          	upperWall	2.431965e-02	3.075747e-01	1.177619e-01
0.23          	lowerWall	3.590915e-03	1.284692e+00	2.330649e-01
0.24          	upperWall	1.008960e-02	2.697323e-01	1.106466e-01
0.24          	lowerWall	3.975845e-03	8.542194e-01	2.400694e-01
0.25          	upperWall	1.402221e-02	3.697096e-01	1.135030e-01
0.25          	lowerWall	3.256992e-03	9.293039e-01	2.271719e-01
0.26          	upperWall	1.341214e-02	3.016488e-01	1.038931e-01
0.26          	lowerWall	2.823934e-03	1.130884e+00	2.110325e-01
0.27          	upperWall	4.503092e-03	2.810740e-01	9.968538e-02
0.27          	lowerWall	2.449205e-03	8.621229e-01	2.279792e-01
0.28          	upperWall	5.578078e-03	2.678164e-01	9.762705e-02
0.28          	lowerWall	3.021575e-03	9.174569e-01	2.228732e-01
0.29          	upperWall	5.173909e-03	3.102098e-01	1.048858e-01
0.29          	lowerWall	3.352300e-03	8.269468e-01	2.288829e-01
0.3           	upperWall	2.701125e-03	3.103360e-01	1.025441e-01
0.3           	lowerWall	3.466548e-03	8.938413e-01	2.302089e-01
