Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(k)_average,ddt0(omega)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,k_average,nut_average,omega_average,p_average,turbulenceProperties:L_average,turbulenceProperties:R_average_0,turbulenceProperties:R_average_1,turbulenceProperties:R_average_2,turbulenceProperties:R_average_3,turbulenceProperties:R_average_4,turbulenceProperties:R_average_5,turbulenceProperties:R_average_Magnitude,yPlus_average
internalMesh,0,-0.02028889,0.00254000,0.00000000,0.02044726,9.99920845,0.00079647,0.00000000,9.99920845,0.15438212,-0.01972704,0.00000000,0.15563738,0.00987891,26.24374008,0.15438212,-0.01972704,0.00000000,0.15563738,0.37614468,0.00005915,1082.35070801,-6.67824697,0.00103454,0.25091770,0.25067633,0.25069556,-0.11660459,-0.00000000,-0.00000000,0.44971460,0.00000000
internalMesh,1,-0.01954548,0.00254000,0.00000000,0.01970983,9.99831104,0.00298242,0.00000000,9.99831104,-0.28815129,0.05568557,0.00000000,0.29348263,-0.00747445,-27.62825394,-0.28815129,0.05568557,0.00000000,0.29348263,0.37770236,0.00005941,1084.55834961,-6.70477057,0.00103457,0.25183317,0.25175241,0.25181931,-0.11708763,-0.00000000,-0.00000000,0.45157692,0.00000000
internalMesh,2,-0.01851252,0.00254000,0.00000000,0.01868596,9.99931622,0.00450198,0.00000000,9.99931717,0.55412120,-0.06445689,0.00000000,0.55785751,-0.00405114,34.35322571,0.55412120,-0.06445689,0.00000000,0.55785751,0.38152573,0.00006002,1089.96569824,-6.74335718,0.00103464,0.25447252,0.25422978,0.25434905,-0.11827290,-0.00000000,-0.00000000,0.45614797,0.00000000
internalMesh,3,-0.01707723,0.00254000,0.00000000,0.01726509,9.99495506,0.00820613,0.00000000,9.99495888,-0.99377036,0.25265750,0.00000000,1.02538550,0.05151181,-15.70643425,-0.99377036,0.25265750,0.00000000,1.02538550,0.38437536,0.00006049,1093.96801758,-6.78825712,0.00103470,0.25639522,0.25608209,0.25627357,-0.11915604,-0.00000000,-0.00000000,0.45955506,0.00000000
internalMesh,4,-0.01508290,0.00254000,0.00000000,0.01529527,9.99700356,0.00750627,0.00000000,9.99700642,1.28197086,-0.30912486,0.00000000,1.31871438,-0.04167006,-26.02891350,1.28197086,-0.30912486,0.00000000,1.31871438,0.39175412,0.00006162,1104.29382324,-6.82863665,0.00103481,0.26150838,0.26088148,0.26111826,-0.12144307,-0.00000000,-0.00000000,0.46837693,0.00000000
internalMesh,5,-0.01231178,0.00254000,0.00000000,0.01257106,9.97659588,0.01718193,0.00000000,9.97661114,-1.48329151,0.74597687,0.00000000,1.66031182,-0.04266615,65.65168762,-1.48329151,0.74597687,0.00000000,1.66031182,0.39695117,0.00006251,1111.51354980,-6.87486267,0.00103489,0.26492995,0.26429784,0.26467469,-0.12305339,-0.00000000,-0.00000000,0.47459042,0.00000000
internalMesh,6,-0.00846133,0.00254000,0.00000000,0.00883435,9.98915768,0.00457676,0.00000000,9.98915863,-2.34782553,-0.72923791,0.00000000,2.45846963,0.03982060,-8.61733723,-2.34782553,-0.72923791,0.00000000,2.45846963,0.41113871,0.00006461,1130.93811035,-6.89183140,0.00103513,0.27467272,0.27363795,0.27396688,-0.12744997,-0.00000000,-0.00000000,0.49155283,0.00000000
internalMesh,7,-0.00311114,0.00254000,0.00000000,0.00401632,9.91317081,0.04679316,0.00000000,9.91328144,12.44585323,-0.43327266,0.00000000,12.45339298,-0.03842518,-25.99301910,12.44585323,-0.43327266,0.00000000,12.45339298,0.42050111,0.00006633,1143.60437012,-6.86932802,0.00103526,0.28120217,0.27939561,0.28040415,-0.13034874,-0.00000000,0.00000000,0.50274628,0.00000000
internalMesh,8,-0.02028889,0.00609600,0.00000000,0.02118490,10.00010204,0.00083043,0.00000000,10.00010204,0.00113329,0.00810103,0.00000000,0.00817991,0.00006335,0.18477866,0.00113329,0.00810103,0.00000000,0.00817991,0.37497866,0.00760733,49.29179764,-6.86766481,0.02268130,0.24541990,0.25276423,0.25177336,-0.02113288,-0.00000000,-0.00000000,0.43354020,0.00000000
internalMesh,9,-0.01954548,0.00609600,0.00000000,0.02047406,10.00049305,0.00282018,0.00000000,10.00049305,-0.00823444,0.02969187,0.00000000,0.03081255,-0.00027964,2.35074162,-0.00823444,0.02969187,0.00000000,0.03081255,0.37491623,0.00554449,67.61958313,-6.86771059,0.01653232,0.24340732,0.25473616,0.25168866,-0.01523149,-0.00000000,-0.00000000,0.43326297,0.00000000
internalMesh,10,-0.01851252,0.00609600,0.00000000,0.01949037,10.00150490,0.00525426,0.00000000,10.00150585,0.01536305,0.07316291,0.00000000,0.07475851,-0.00213668,-5.26511431,0.01536305,0.07316291,0.00000000,0.07475851,0.37486428,0.00428690,87.44422913,-6.87308455,0.01278339,0.24320091,0.25475904,0.25176850,-0.00956966,-0.00000000,-0.00000000,0.43304482,0.00000000
internalMesh,11,-0.01707723,0.00609600,0.00000000,0.01813265,10.00294971,0.00797456,0.00000000,10.00295258,-0.09238721,0.18146370,0.00000000,0.20362827,0.00151558,42.02320862,-0.09238721,0.18146370,0.00000000,0.20362827,0.37471110,0.00347002,107.98608398,-6.88485432,0.01034958,0.24231814,0.25586438,0.25123963,-0.00849030,-0.00000000,-0.00000000,0.43287191,0.00000000
internalMesh,12,-0.01508290,0.00609600,0.00000000,0.01626822,10.00599098,0.01065686,0.00000000,10.00599670,0.02088379,-0.04013484,0.00000000,0.04524310,-0.00217837,-105.86037445,0.02088379,-0.04013484,0.00000000,0.04524310,0.37464273,0.00285980,131.00900269,-6.90509176,0.00853033,0.24508329,0.25288275,0.25131953,-0.00600601,-0.00000000,-0.00000000,0.43268126,0.00000000
internalMesh,13,-0.01231178,0.00609600,0.00000000,0.01373831,10.00786304,0.01456826,0.00000000,10.00787354,-0.23621057,1.04643655,0.00000000,1.07276511,0.00497790,195.52879333,-0.23621057,1.04643655,0.00000000,1.07276511,0.37442991,0.00245435,152.57479858,-6.93049526,0.00732302,0.24296191,0.25593343,0.24996442,-0.01237961,-0.00000000,-0.00000000,0.43262902,0.00000000
internalMesh,14,-0.00846133,0.00609600,0.00000000,0.01042858,10.01627922,0.01622809,0.00000000,10.01629257,-0.64925259,-1.29374361,0.00000000,1.44751561,0.01021722,-365.96102905,-0.64925259,-1.29374361,0.00000000,1.44751561,0.37441200,0.00204242,183.44612122,-6.96942186,0.00609411,0.24947268,0.24747971,0.25187159,-0.00968156,-0.00000000,-0.00000000,0.43245330,0.00000000
internalMesh,15,-0.00311114,0.00609600,0.00000000,0.00684401,10.01084995,0.03531770,0.00000000,10.01091194,2.04654264,0.95255131,0.00000000,2.25736380,0.02661008,371.32455444,2.04654264,0.95255131,0.00000000,2.25736380,0.37462971,0.00186433,201.39457703,-6.97000742,0.00556294,0.24087897,0.25924361,0.24913678,-0.03297254,-0.00000000,-0.00000000,0.43403485,0.00000000
internalMesh,16,-0.02028889,0.00812800,0.00000000,0.02185642,10.00000000,0.00054638,0.00000000,10.00000000,0.00024602,0.00893744,0.00000000,0.00894083,-0.00006696,0.00953044,0.00024602,0.00893744,0.00000000,0.00894083,0.37496167,0.00938291,39.96215820,-6.91819048,0.02797584,0.24750711,0.25233445,0.25008124,-0.01593309,-0.00000000,-0.00000000,0.43327466,0.00000000
internalMesh,17,-0.01954548,0.00812800,0.00000000,0.02116814,10.00018787,0.00179621,0.00000000,10.00018787,-0.00121579,0.04447484,0.00000000,0.04449145,-0.00028510,0.10857419,-0.00121579,0.04447484,0.00000000,0.04449145,0.37486896,0.00903431,41.49391556,-6.91646862,0.02693983,0.24316427,0.25696006,0.24961360,-0.01382899,-0.00000000,-0.00000000,0.43319225,0.00000000
internalMesh,18,-0.01851252,0.00812800,0.00000000,0.02021825,10.00067139,0.00340781,0.00000000,10.00067234,-0.00369543,0.10409889,0.00000000,0.10416446,-0.00065081,-1.43904078,-0.00369543,0.10409889,0.00000000,0.10416446,0.37473980,0.00845326,44.33081436,-6.91627169,0.02521151,0.23873062,0.26151887,0.24923021,-0.01046522,-0.00000000,-0.00000000,0.43313929,0.00000000
internalMesh,19,-0.01707723,0.00812800,0.00000000,0.01891286,10.00178242,0.00540248,0.00000000,10.00178432,-0.01979428,0.17606725,0.00000000,0.17717643,-0.00086840,9.67521381,-0.01979428,0.17606725,0.00000000,0.17717643,0.37454706,0.00768668,48.72674561,-6.92168236,0.02293111,0.23510982,0.26490918,0.24907492,-0.00697903,-0.00000000,-0.00000000,0.43305948,0.00000000
internalMesh,20,-0.01508290,0.00812800,0.00000000,0.01713354,10.00388432,0.00775485,0.00000000,10.00388718,-0.03325137,0.16999470,0.00000000,0.17321619,-0.00394303,-29.62461472,-0.03325137,0.16999470,0.00000000,0.17321619,0.37427852,0.00675899,55.37533951,-6.93613148,0.02017081,0.23431584,0.26537755,0.24886414,-0.00372592,-0.00000000,-0.00000000,0.43275443,0.00000000
internalMesh,21,-0.01231178,0.00812800,0.00000000,0.01475277,10.00690842,0.01115248,0.00000000,10.00691509,-0.09170417,0.74925512,0.00000000,0.75484627,0.00225603,64.68778992,-0.09170417,0.74925512,0.00000000,0.75484627,0.37386984,0.00590769,63.28664017,-6.96188021,0.01763994,0.23271936,0.26638302,0.24863745,-0.00439412,-0.00000000,-0.00000000,0.43238652,0.00000000
internalMesh,22,-0.00846133,0.00812800,0.00000000,0.01173279,10.01307392,0.01396550,0.00000000,10.01308346,0.04206621,-0.61980236,0.00000000,0.62122822,0.00493032,-106.88626862,0.04206621,-0.61980236,0.00000000,0.62122822,0.37332934,0.00496008,75.28229523,-7.00687647,0.01482114,0.23675874,0.26054096,0.24935919,-0.00544803,-0.00000000,-0.00000000,0.43144637,0.00000000
internalMesh,23,-0.00311114,0.00812800,0.00000000,0.00870308,10.01815987,0.03112772,0.00000000,10.01820850,-0.45328772,-0.49975508,0.00000000,0.67470354,0.01650051,101.39553070,-0.45328772,-0.49975508,0.00000000,0.67470354,0.37255555,0.00427806,86.90717316,-7.04755878,0.01282960,0.22990394,0.26687920,0.24832791,-0.02511263,-0.00000000,0.00000000,0.43171486,0.00000000
internalMesh,24,-0.02028889,0.01016000,0.00000000,0.02269063,10.00000000,0.00034247,0.00000000,10.00000000,-0.00006061,0.00980015,0.00000000,0.00980033,-0.00009018,-0.01469971,-0.00006061,0.00980015,0.00000000,0.00980033,0.37495977,0.00946048,39.63431168,-6.94475651,0.02820720,0.24823973,0.25166994,0.25000969,-0.01044603,-0.00000000,-0.00000000,0.43309894,0.00000000
internalMesh,25,-0.01954548,0.01016000,0.00000000,0.02202842,10.00010204,0.00116779,0.00000000,10.00010204,-0.00048491,0.04980441,0.00000000,0.04980677,-0.00034699,-0.03671234,-0.00048491,0.04980441,0.00000000,0.04980677,0.37486362,0.00942805,39.76048660,-6.94430685,0.02811411,0.24474025,0.25517878,0.24980818,-0.01027486,-0.00000000,-0.00000000,0.43304005,0.00000000
internalMesh,26,-0.01851252,0.01016000,0.00000000,0.02111727,10.00049019,0.00230039,0.00000000,10.00049019,-0.00170029,0.11177702,0.00000000,0.11178995,-0.00071387,-0.35215110,-0.00170029,0.11177702,0.00000000,0.11178995,0.37473071,0.00933846,40.12770462,-6.94521332,0.02785192,0.24013360,0.25960431,0.24972351,-0.00956319,-0.00000000,-0.00000000,0.43302634,0.00000000
internalMesh,27,-0.01707723,0.01016000,0.00000000,0.01987102,10.00145817,0.00378895,0.00000000,10.00145912,-0.00365972,0.18349700,0.00000000,0.18353349,-0.00116573,2.39212728,-0.00365972,0.18349700,0.00000000,0.18353349,0.37454435,0.00914440,40.95888901,-6.95053244,0.02727991,0.23487166,0.26449960,0.24971771,-0.00842069,-0.00000000,-0.00000000,0.43307573,0.00000000
internalMesh,28,-0.01508290,0.01016000,0.00000000,0.01818569,10.00338840,0.00569279,0.00000000,10.00339031,-0.01831027,0.23300190,0.00000000,0.23372024,-0.00367587,-8.66898727,-0.01831027,0.23300190,0.00000000,0.23372024,0.37428409,0.00876803,42.68737411,-6.96449566,0.02616621,0.23009281,0.26872295,0.24975257,-0.00770022,-0.00000000,-0.00000000,0.43311703,0.00000000
internalMesh,29,-0.01231178,0.01016000,0.00000000,0.01596263,10.00691509,0.00846426,0.00000000,10.00691891,-0.01502755,0.59296232,0.00000000,0.59315270,0.00232318,19.19545555,-0.01502755,0.59296232,0.00000000,0.59315270,0.37391064,0.00823618,45.39870834,-6.99267673,0.02459130,0.22593263,0.27256197,0.24932672,-0.00851433,-0.00000000,-0.00000000,0.43309569,0.00000000
internalMesh,30,-0.00846133,0.01016000,0.00000000,0.01322194,10.01294422,0.01158622,0.00000000,10.01295090,0.22246127,-0.38027188,0.00000000,0.44056296,-0.00012974,-14.30309486,0.22246127,-0.38027188,0.00000000,0.44056296,0.37340656,0.00745742,50.04235840,-7.04622078,0.02229541,0.22566952,0.27080479,0.25033900,-0.01457221,-0.00000000,-0.00000000,0.43260136,0.00000000
internalMesh,31,-0.00311114,0.01016000,0.00000000,0.01062567,10.02232170,0.02627940,0.00000000,10.02235603,-0.97153795,-0.35221958,0.00000000,1.03341401,-0.01099313,-15.92581081,-0.97153795,-0.35221958,0.00000000,1.03341401,0.37267086,0.00632567,56.52202988,-7.12403536,0.01972002,0.21826987,0.27868912,0.24838296,-0.02534548,-0.00000000,0.00000000,0.43318108,0.00000000
internalMesh,32,-0.02028889,0.01219200,0.00000000,0.02367031,10.00000000,0.00018978,0.00000000,10.00000000,-0.00010206,0.00944114,0.00000000,0.00944169,-0.00009899,-0.00791337,-0.00010206,0.00944114,0.00000000,0.00944169,0.37495956,0.00946558,39.61285782,-6.96225405,0.02822248,0.24827893,0.25155699,0.25008246,-0.00575207,-0.00000000,-0.00000000,0.43301001,0.00000000
internalMesh,33,-0.01954548,0.01219200,0.00000000,0.02303629,10.00011158,0.00063867,0.00000000,10.00011158,0.00051883,0.04937096,0.00000000,0.04937368,-0.00037109,-0.02150589,0.00051883,0.04937096,0.00000000,0.04937368,0.37486222,0.00946139,39.62023544,-6.96186924,0.02821360,0.24485752,0.25497299,0.24989393,-0.00573552,-0.00000000,-0.00000000,0.43295071,0.00000000
internalMesh,34,-0.01851252,0.01219200,0.00000000,0.02216660,10.00051689,0.00125780,0.00000000,10.00051689,0.00223336,0.11061602,0.00000000,0.11063857,-0.00073900,-0.04682450,0.00223336,0.11061602,0.00000000,0.11063857,0.37472868,0.00944902,39.65794754,-6.96306181,0.02818173,0.23995370,0.25976273,0.24974085,-0.00581773,-0.00000000,-0.00000000,0.43296513,0.00000000
internalMesh,35,-0.01707723,0.01219200,0.00000000,0.02098277,10.00146294,0.00211778,0.00000000,10.00146294,0.00757960,0.18154277,0.00000000,0.18170093,-0.00119747,-0.14215963,0.00757960,0.18154277,0.00000000,0.18170093,0.37454501,0.00941353,39.78794098,-6.96896219,0.02808278,0.23376089,0.26576269,0.24956675,-0.00622524,-0.00000000,-0.00000000,0.43312386,0.00000000
internalMesh,36,-0.01508290,0.01219200,0.00000000,0.01939429,10.00349236,0.00335821,0.00000000,10.00349331,0.00950198,0.24862817,0.00000000,0.24880968,-0.00315434,0.16267408,0.00950198,0.24862817,0.00000000,0.24880968,0.37429473,0.00931608,40.17726898,-6.98451567,0.02780135,0.22681826,0.27226892,0.24950227,-0.00758886,-0.00000000,-0.00000000,0.43345803,0.00000000
internalMesh,37,-0.01231178,0.01219200,0.00000000,0.01732700,10.00743484,0.00541984,0.00000000,10.00743675,0.04146894,0.48522338,0.00000000,0.48699221,0.00164244,2.70893764,0.04146894,0.48522338,0.00000000,0.48699221,0.37395117,0.00909588,41.11216354,-7.01691246,0.02715669,0.22080281,0.27804071,0.24905838,-0.00998894,-0.00000000,-0.00000000,0.43380913,0.00000000
internalMesh,38,-0.00846133,0.01219200,0.00000000,0.01484045,10.01391792,0.00835661,0.00000000,10.01392174,0.26801980,-0.19104329,0.00000000,0.32913849,-0.00170017,-2.39801025,0.26801980,-0.19104329,0.00000000,0.32913849,0.37348965,0.00855372,43.06640625,-7.08106709,0.02590861,0.21732235,0.27972385,0.24993283,-0.01695573,-0.00000000,-0.00000000,0.43385291,0.00000000
internalMesh,39,-0.00311114,0.01219200,0.00000000,0.01258269,10.02572823,0.02052218,0.00000000,10.02574921,-0.73799419,-0.24288018,0.00000000,0.77693385,-0.01793492,0.30914602,-0.73799419,-0.24288018,0.00000000,0.77693385,0.37283972,0.00750611,46.89403152,-7.18768120,0.02377372,0.20939252,0.28820336,0.24808380,-0.02316896,-0.00000000,-0.00000000,0.43472838,0.00000000
internalMesh,40,-0.02028889,0.01422400,0.00000000,0.02477824,10.00000000,0.00002590,0.00000000,10.00000000,-0.00014301,0.00843837,0.00000000,0.00843958,-0.00009403,-0.00665232,-0.00014301,0.00843837,0.00000000,0.00843958,0.37495938,0.00946589,39.61161423,-6.97008991,0.02822339,0.24803203,0.25179079,0.25009540,-0.00072518,-0.00000000,-0.00000000,0.43297428,0.00000000
internalMesh,41,-0.01954548,0.01422400,0.00000000,0.02417329,10.00012779,0.00007701,0.00000000,10.00012779,0.00132988,0.04501789,0.00000000,0.04503753,-0.00035019,-0.01834681,0.00132988,0.04501789,0.00000000,0.04503753,0.37486166,0.00946273,39.61457443,-6.96967602,0.02821762,0.24415520,0.25568864,0.24987984,-0.00076353,-0.00000000,-0.00000000,0.43293065,0.00000000
internalMesh,42,-0.01851252,0.01422400,0.00000000,0.02334600,10.00056648,0.00014518,0.00000000,10.00056648,0.00571121,0.10178018,0.00000000,0.10194030,-0.00068488,-0.05352969,0.00571121,0.10178018,0.00000000,0.10194030,0.37472814,0.00945414,39.63640976,-6.97109175,0.02819701,0.23863991,0.26110947,0.24970672,-0.00127491,-0.00000000,-0.00000000,0.43299219,0.00000000
internalMesh,43,-0.01707723,0.01422400,0.00000000,0.02222507,10.00166798,0.00029288,0.00000000,10.00166798,0.01719173,0.16823459,0.00000000,0.16911072,-0.00109412,-0.10114263,0.01719173,0.16823459,0.00000000,0.16911072,0.37454543,0.00942897,39.72285843,-6.97791100,0.02812880,0.23173067,0.26784274,0.24951740,-0.00276969,-0.00000000,-0.00000000,0.43324986,0.00000000
internalMesh,44,-0.01508290,0.01422400,0.00000000,0.02073200,10.00393581,0.00072677,0.00000000,10.00393581,0.03424983,0.23567478,0.00000000,0.23815049,-0.00252270,-0.29318371,0.03424983,0.23567478,0.00000000,0.23815049,0.37429789,0.00935950,39.99126434,-6.99586344,0.02793080,0.22401395,0.27513954,0.24944219,-0.00577783,-0.00000000,-0.00000000,0.43374971,0.00000000
internalMesh,45,-0.01231178,0.01422400,0.00000000,0.01881229,10.00830364,0.00199084,0.00000000,10.00830364,0.08127329,0.40300909,0.00000000,0.41112244,0.00038869,1.08309591,0.08127329,0.40300909,0.00000000,0.41112244,0.37396282,0.00917411,40.76284409,-7.03355837,0.02738983,0.21741681,0.28139722,0.24911179,-0.00961270,-0.00000000,-0.00000000,0.43428510,0.00000000
