# y+ ()         
# Time          	patch           	min             	max             	average         
0.000120482     	upperWall	9.88795575e-03	3.23281894e+00	1.15241395e+00
0.000120482     	lowerWall	3.10023930e-03	3.62057690e+00	9.49951784e-01
0.000128182     	upperWall	2.90139399e-02	3.42804447e+00	1.26191310e+00
0.000128182     	lowerWall	1.43949683e-02	3.51042315e+00	1.01192584e+00
0.000136849     	upperWall	9.32096420e-03	3.60805604e+00	1.28588069e+00
0.000136849     	lowerWall	4.55961678e-02	3.30770388e+00	1.04699206e+00
0.000146529     	upperWall	8.94499323e-03	3.45524520e+00	1.24721486e+00
0.000146529     	lowerWall	5.74455713e-02	2.41013354e+00	1.01906578e+00
0.000156912     	upperWall	1.82465490e-02	3.33865499e+00	1.23592550e+00
0.000156912     	lowerWall	6.37685492e-02	2.30407954e+00	1.00589163e+00
0.000167295     	upperWall	7.03816413e-03	3.44242983e+00	1.22401551e+00
0.000167295     	lowerWall	9.46704294e-02	2.39015695e+00	9.90424288e-01
0.000177689     	upperWall	2.71697665e-03	3.53910454e+00	1.21880698e+00
0.000177689     	lowerWall	1.04158590e-01	2.45153530e+00	9.73440554e-01
0.000188083     	upperWall	6.85977031e-03	3.43329115e+00	1.21009533e+00
0.000188083     	lowerWall	3.88109401e-02	2.36988540e+00	9.56929882e-01
0.000198488     	upperWall	5.75822062e-03	3.34973219e+00	1.20238308e+00
0.000198488     	lowerWall	3.34572147e-02	2.30613067e+00	9.45633690e-01
0.000208893     	upperWall	9.31950701e-03	3.41977395e+00	1.19954220e+00
0.000208893     	lowerWall	6.91289558e-02	2.35502981e+00	9.40496817e-01
0.000219298     	upperWall	1.33187049e-02	3.47716522e+00	1.19680573e+00
0.000219298     	lowerWall	6.73044163e-02	2.39210054e+00	9.35464827e-01
0.000229714     	upperWall	1.30429471e-02	3.41516001e+00	1.19181512e+00
0.000229714     	lowerWall	6.28482873e-02	2.34467327e+00	9.29661630e-01
0.000240108     	upperWall	1.77654860e-02	3.36265084e+00	1.18757856e+00
0.000240108     	lowerWall	6.50347820e-02	2.30484226e+00	9.23976309e-01
0.000250446     	upperWall	1.21987817e-02	3.40424303e+00	1.18612035e+00
0.000250446     	lowerWall	3.73673763e-02	2.33127624e+00	9.19762460e-01
0.000260742     	upperWall	1.41675992e-02	3.44230720e+00	1.18461326e+00
0.000260742     	lowerWall	5.12827180e-02	2.36479459e+00	9.16566516e-01
0.000271004     	upperWall	1.18572044e-02	3.40695545e+00	1.18198989e+00
0.000271004     	lowerWall	4.68972305e-02	2.33177841e+00	9.13214255e-01
0.000281235     	upperWall	7.88577755e-03	3.38191603e+00	1.17981797e+00
0.000281235     	lowerWall	2.14705012e-02	2.31184459e+00	9.09863166e-01
0.000291433     	upperWall	1.40056406e-02	3.39169553e+00	1.17906312e+00
0.000291433     	lowerWall	3.61454470e-02	2.32648273e+00	9.07572473e-01
0.00030162      	upperWall	1.38463789e-02	3.40038219e+00	1.17820414e+00
0.00030162      	lowerWall	1.01879002e-02	2.34531289e+00	9.07056702e-01
