# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	upperWall	4.272573e+01	6.066956e+01	5.345404e+01
0.01          	lowerWall	7.806268e+01	1.350471e+02	9.955226e+01
0.02          	upperWall	4.271773e+01	6.539295e+01	5.381489e+01
0.02          	lowerWall	7.574278e+01	1.501172e+02	1.080100e+02
0.03          	upperWall	4.271847e+01	6.926718e+01	5.359107e+01
0.03          	lowerWall	7.226229e+01	1.549530e+02	1.083986e+02
0.04          	upperWall	3.515509e+01	7.250588e+01	5.393873e+01
0.04          	lowerWall	6.355790e+01	1.744354e+02	1.136318e+02
0.05          	upperWall	3.345313e+01	7.524903e+01	5.546388e+01
0.05          	lowerWall	5.870628e+01	1.869205e+02	1.198522e+02
0.06          	upperWall	3.970375e+01	7.692292e+01	5.802752e+01
0.06          	lowerWall	5.521457e+01	2.030042e+02	1.287565e+02
0.07          	upperWall	4.001425e+01	7.755527e+01	6.031468e+01
0.07          	lowerWall	5.123005e+01	2.186583e+02	1.372487e+02
0.08          	upperWall	3.894047e+01	7.739742e+01	6.197769e+01
0.08          	lowerWall	4.768346e+01	2.212031e+02	1.407975e+02
0.09          	upperWall	3.788274e+01	7.979826e+01	6.321650e+01
0.09          	lowerWall	4.450849e+01	2.122645e+02	1.402156e+02
0.1           	upperWall	3.813849e+01	7.608223e+01	6.294596e+01
0.1           	lowerWall	4.211953e+01	2.002325e+02	1.368999e+02
0.11          	upperWall	3.763296e+01	7.613164e+01	6.250758e+01
0.11          	lowerWall	4.048483e+01	1.838780e+02	1.320099e+02
0.12          	upperWall	4.103529e+01	7.628570e+01	6.321181e+01
0.12          	lowerWall	3.909763e+01	1.819590e+02	1.278113e+02
0.13          	upperWall	3.964137e+01	7.636123e+01	6.413359e+01
0.13          	lowerWall	3.763316e+01	1.815152e+02	1.254633e+02
0.14          	upperWall	4.206025e+01	7.638239e+01	6.490728e+01
0.14          	lowerWall	3.610485e+01	1.814972e+02	1.242620e+02
0.15          	upperWall	4.272164e+01	7.642958e+01	6.512889e+01
0.15          	lowerWall	3.462560e+01	1.815027e+02	1.236072e+02
0.16          	upperWall	4.272164e+01	7.647553e+01	6.516499e+01
0.16          	lowerWall	3.328598e+01	1.814752e+02	1.231622e+02
0.17          	upperWall	4.272163e+01	7.651586e+01	6.517992e+01
0.17          	lowerWall	3.212572e+01	1.814168e+02	1.228048e+02
0.18          	upperWall	4.272161e+01	7.653752e+01	6.519669e+01
0.18          	lowerWall	3.114780e+01	1.813568e+02	1.225182e+02
0.19          	upperWall	4.272160e+01	7.654775e+01	6.521201e+01
0.19          	lowerWall	3.033360e+01	1.813188e+02	1.222865e+02
0.2           	upperWall	4.272160e+01	7.655506e+01	6.522239e+01
0.2           	lowerWall	2.965291e+01	1.812943e+02	1.220944e+02
0.21          	upperWall	4.272159e+01	7.656150e+01	6.522805e+01
0.21          	lowerWall	2.908076e+01	1.812730e+02	1.219328e+02
0.22          	upperWall	4.272159e+01	7.656587e+01	6.523119e+01
0.22          	lowerWall	2.859918e+01	1.812565e+02	1.217970e+02
0.23          	upperWall	4.272158e+01	7.656850e+01	6.523351e+01
0.23          	lowerWall	2.819464e+01	1.812442e+02	1.216847e+02
0.24          	upperWall	4.272158e+01	7.657001e+01	6.523530e+01
0.24          	lowerWall	2.785629e+01	1.812354e+02	1.215928e+02
0.25          	upperWall	4.272157e+01	7.657088e+01	6.523644e+01
0.25          	lowerWall	2.757552e+01	1.812285e+02	1.215174e+02
0.26          	upperWall	4.272157e+01	7.657153e+01	6.523708e+01
0.26          	lowerWall	2.734417e+01	1.812221e+02	1.214553e+02
0.27          	upperWall	4.272157e+01	7.657169e+01	6.523745e+01
0.27          	lowerWall	2.703093e+01	1.812169e+02	1.214043e+02
0.28          	upperWall	4.272156e+01	7.657172e+01	6.523764e+01
0.28          	lowerWall	2.679994e+01	1.812140e+02	1.213675e+02
0.29          	upperWall	4.272156e+01	7.657172e+01	6.523764e+01
0.29          	lowerWall	2.679994e+01	1.812140e+02	1.213675e+02
0.3           	upperWall	4.272156e+01	7.657085e+01	6.523779e+01
0.3           	lowerWall	2.658295e+01	1.812160e+02	1.213338e+02
